Sox17	K04495
Olfr583	K04257
Olfr584	K04257
Olfr587-ps1	K04257
Olfr588-ps1	K04257
Olfr589	K04257
Olfr592	K04257
Olfr594	K04257
Olfr597	K04257
Olfr598	K04257
Olfr599	K04257
Olfr600	K04257
Olfr601	K04257
Olfr606	K04257
Olfr607	K04257
Olfr609	K04257
Olfr610	K04257
Olfr617	K04257
Olfr618	K04257
Olfr620	K04257
Olfr623	K04257
Olfr629	K04257
Olfr64	K04257
Olfr65	K04257
Olfr633	K04257
Olfr635	K04257
Olfr643	K04257
Olfr639	K04257
Olfr640	K04257
Olfr642	K04257
Olfr644	K04257
Olfr645	K04257
Olfr646	K04257
Olfr648	K04257
Olfr650-ps1	K04257
Olfr651	K04257
Olfr652	K04257
Olfr654	K04257
Olfr655	K04257
Olfr656	K04257
Olfr657	K04257
Olfr658	K04257
Olfr659	K04257
Olfr661	K04257
Olfr664	K04257
Olfr665	K04257
Olfr666	K04257
Olfr667	K04257
Olfr668	K04257
Olfr669	K04257
Olfr676	K04257
Olfr679	K04257
Olfr681	K04257
Olfr682-ps1	K04257
Olfr683	K04257
Olfr684	K04257
Olfr685	K04257
Olfr686	K04257
Olfr692	K04257
Olfr693	K04257
Olfr694	K04257
Olfr695	K04257
Olfr697	K04257
Olfr701	K04257
Olfr703	K04257
Olfr704	K04257
Olfr706	K04257
Olfr707	K04257
Olfr709-ps1	K04257
Olfr6	K04257
Olfr711	K04257
Olfr715b	K04257
Olfr715	K04257
Olfr716	K04257
Olfr472	K04257
Olfr473	K04257
Olfr474	K04257
Olfr476	K04257
Olfr477	K04257
Olfr478	K04257
Olfr484	K04257
Olfr485	K04257
Olfr486	K04257
Olfr488	K04257
Olfr492	K04257
Olfr494	K04257
Olfr495	K04257
Olfr497	K04257
Olfr498	K04257
Olfr501-ps1	K04257
Olfr502	K04257
Olfr503	K04257
Olfr506	K04257
Olfr508	K04257
Olfr509	K04257
Olfr510	K04257
Olfr512	K04257
Olfr514	K04257
Olfr516	K04257
Olfr517	K04257
Olfr518	K04257
Pth	K01056
Gm23229	K14280
Acsm2	K01896
Abca16	K05643
Spn	K17551
Olfr522	K04257
Olfr525	K04257
Olfr527	K04257
Olfr60	K04257
Olfr530	K04257
Olfr531	K04257
Olfr532	K04257
Olfr533	K04257
Olfr536	K04257
Olfr538	K04257
Olfr46	K04257
Olfr45	K04257
Olfr541	K04257
Syt8	K19908
Tnni2	K12043
Gm25369	K27110
Gm3213	K10580
Gm22995	K14280
4930444G20Rik	K03345
Gm24889	K26326
Gm24256	K14278
Gprc6a	K04622
Gm4981	K24896
Gm22594	K26326
Gm22937	K26326
Gm24984	K26326
Ftcd	K13990
Olfr1358	K04257
Olfr1357	K04257
Olfr1356	K04257
Olfr1355	K04257
Olfr1353	K04257
Olfr57	K04257
Gm8112	K02893
Gm26239	K14280
Gm21293	K12881
Gm21304	K12881
Gm21312	K12881
Gm20765	K12881
Gm25422	K26326
Gm22236	K14280
Iltifb	K05445
Mip	K01410
Apof	K25363
Gm23241	K14280
Olfr9	K04257
Olfr763	K04257
Olfr767	K04257
Olfr769	K04257
Olfr770	K04257
Olfr771	K04257
Olfr772	K04257
Olfr776	K04257
Olfr780	K04257
Olfr782	K04257
Olfr786	K04257
Olfr787	K04257
Olfr788	K04257
Olfr790	K04257
Olfr798	K04257
Olfr799	K04257
Olfr801	K04257
Olfr803	K04257
Olfr805	K04257
Olfr808	K04257
Olfr809	K04257
Olfr813	K04257
Olfr814	K04257
Olfr815	K04257
Olfr816	K04257
Olfr818	K04257
Olfr247	K04257
Gm10310	K04257
Olfr820	K04257
Olfr822	K04257
Olfr823	K04257
Olfr824	K04257
Olfr825	K04257
Olfr826	K04257
Olfr827	K04257
Ftl1-ps2	K13625
Gm26427	K14280
1700016D06Rik	K25515
Atp4b	K01543
AY761185	K05230
Gm24410	K14280
Adam25	K08612
Gm25830	K26326
Gm23986	K28308
Neil3	K10569
Adam29	K16069
Anxa10	K17097
Gm24274	K26387
Nat3	K00622
Olfr372	K04257
Olfr374	K04257
Gm25267	K28308
Gm25138	K26320
Olfr371	K04257
Gm6625	K13784
Gm22428	K26326
Irx3	K24889
Irx5	K24889
Ces2b	K03927
Tat	K00815
Gm22827	K14280
Gm24578	K26326
Gm281	K16503
Olfr720	K04257
Olfr721-ps1	K04257
Prrxl1	K24895
Rgr	K04254
Gm22469	K26326
Gm22823	K14280
Ang5	K16631
Gm23470	K14276
Olfr722	K04257
Olfr727	K04257
Olfr728	K04257
Olfr729	K04257
Olfr730	K04257
Olfr731	K04257
Olfr732	K04257
Olfr735	K04257
Tlr11	K18807
Olfr736	K04257
Olfr738	K04257
Olfr739	K04257
Olfr740	K04257
Olfr741	K04257
Olfr742	K04257
Olfr744	K04257
Olfr745	K04257
Olfr746	K04257
Olfr748	K04257
Olfr750	K04257
Ang2	K05466
Olfr49	K04257
Gm24424	K14280
Gm22498	K27176
Tdh	K15789
Gm23324	K26326
Gm22970	K14277
Gm5958	K23765
Gm22021	K14280
Gm25670	K14280
Gm23275	K14280
Mmp8	K01402
Mmp20	K07999
Olfr828	K04257
Olfr829	K04257
Olfr830	K04257
Olfr832	K04257
Olfr836	K04257
Olfr837	K04257
Olfr839-ps1	K04257
Olfr843	K04257
Olfr845	K04257
Olfr846	K04257
Olfr847	K04257
Gm23048	K26326
Olfr853	K04257
Olfr854	K04257
Olfr855	K04257
Olfr857	K04257
Olfr58	K04257
Olfr859	K04257
Olfr860	K04257
Olfr862	K04257
Olfr867	K04257
Olfr868	K04257
Olfr869	K04257
Olfr870	K04257
Olfr872	K04257
Olfr39	K04257
Olfr873	K04257
Olfr151	K04257
Olfr874	K04257
Olfr875	K04257
Olfr876	K04257
Olfr881	K04257
Olfr884	K04257
Olfr887	K04257
Olfr890	K04257
Olfr892-ps1	K04257
Olfr893	K04257
Olfr895	K04257
Olfr896-ps1	K04257
Olfr897-ps1	K04257
Olfr25	K04257
Olfr898	K04257
Olfr251	K04257
Olfr147	K04257
Olfr901	K04257
Olfr902	K04257
Olfr904	K04257
Olfr905	K04257
Olfr906	K04257
Olfr911-ps1	K04257
Olfr910	K04257
Olfr912	K04257
Olfr913	K04257
Olfr914	K04257
Olfr916	K04257
Olfr917	K04257
Olfr918	K04257
Olfr921	K04257
Olfr922	K04257
Olfr923	K04257
Olfr924	K04257
Olfr933	K04257
Olfr935	K04257
Olfr937	K04257
Olfr938	K04257
Olfr27	K04257
Olfr943	K04257
Olfr944	K04257
Olfr947-ps1	K04257
Olfr951	K04257
Olfr954	K04257
Olfr955	K04257
Olfr44	K04257
Olfr961	K04257
Olfr963	K04257
Olfr150	K04257
Olfr967	K04257
Olfr968	K04257
Olfr971	K04257
Olfr972	K04257
Olfr975	K04257
Olfr976	K04257
Olfr979	K04257
Olfr980	K04257
Olfr982	K04257
Olfr983	K04257
Olfr984	K04257
Olfr985	K04257
Olfr986	K04257
Crtam	K16361
Gm24166	K14922
Tmprss13	K14359
Gm22286	K14280
Odf3l1	K25636
Gm23730	K14280
Gm22229	K14280
Gm10639	K00799
Gm26146	K14276
Gm26126	K14276
Gm25528	K26326
1700057G04Rik	K27888
Cldn18	K06087
Sox14	K09267
Tlr9	K10161
Fbxw23	K10267
Gm11954	K04552
Gm24803	K14280
Pkd1l1	K04987
Gm25490	K26326
Gm23021	K14276
Il9r	K05073
Gabrp	K05189
Olfr1395	K04257
Olfr1392	K04257
Olfr1390	K04257
Olfr1389	K04257
Olfr1387	K04257
Olfr1386	K04257
Olfr1384	K04257
Olfr1383	K04257
Olfr1382	K04257
Olfr1381	K04257
Olfr1377	K04257
Olfr51	K04257
Olfr54	K04257
4930438A08Rik	K03334
Olfr330	K04257
Olfr328	K04257
Olfr325	K04257
Olfr318	K04257
Olfr315	K04257
Olfr314	K04257
Olfr313	K04257
Olfr312	K04257
Olfr223	K04257
Olfr225	K04257
Gm23194	K14280
Gm12712	K02936
Olfr376	K04257
Olfr380	K04257
Olfr388-ps1	K04257
Olfr390	K04257
Olfr392	K04257
Olfr394	K04257
Olfr396-ps1	K04257
Olfr23	K04257
Olfr22-ps1	K04257
Olfr397	K04257
Olfr398	K04257
Olfr139	K04257
Olfr401	K04257
Olfr43	K04257
Olfr410	K04257
Olfr411	K04257
Gm24454	K28339
Slfn1	K24457
Slfn4	K24457
Slfn3	K24457
Gm26439	K14280
Olfr462	K04257
Gm22762	K26326
Gm26316	K14277
Gm24950	K14277
Gm23971	K14277
Gm24149	K14280
Cd300ld2	K20395
Tubal3	K07374
Gm5445	K02889
Gm24018	K14280
Olfr1369-ps1	K04257
Olfr1360	K04257
Olfr1359	K04257
Slc17a2	K14683
Cmah	K08080
Gm25186	K14280
Dsp	K23573
Gm23117	K14280
Gm23104	K14280
Barx1	K09361
Gm24716	K14280
Lect2	K25755
Gm23855	K14879
Hsd17b3	K10207
Olfr465-ps1	K04257
Olfr466	K04257
Cbx3-ps5	K11586
BC048507	K10418
Irx1	K24889
Irx2	K24889
Gm23319	K26326
Gm24863	K14280
Bhmt	K00544
Gm24032	K14276
Gm10320	K09481
Gm3678	K13134
Matn3	K19467
Mrto4-ps2	K14815
Gm21297	K09228
Gm24613	K28342
Gm23529	K26326
Gm24948	K14908
Gm24859	K14280
Gm23296	K14280
Gm22513	K14276
Gm25917	K26326
Gm26256	K14277
Gm23298	K14280
Gm8300	K03236
Gm4027	K03236
Gm21319	K03236
Gm2016	K03236
Gm2022	K03236
Gm5662	K03236
Gm5039	K03236
Serpina3a	K04525
Tcl1b2	K16836
Tcl1b4	K16836
Gm6988	K02975
Gm23732	K14280
C6	K03995
C9	K04000
Ugt3a1	K24103
Ugt3a2	K24103
Gm22810	K14276
Gm22979	K14276
Odf1	K25635
Gm23343	K26342
Gm5471	K03113
Gm26063	K14280
Gm23848	K14280
Gm26296	K28308
Fam83a	K23930
Gm24696	K26320
Gm25987	K14280
Gm24232	K26326
Gm23987	K26319
Ly6g6g	K06846
Ly6g2	K06846
Apol7b	K14480
Apol7e	K14480
Cyp2d34	K07414
Gm22890	K26342
Olfr285	K04257
Olfr283	K04257
Olfr282	K04257
Olfr281	K04257
Krt83	K07605
Krt79	K07605
Gm22598	K14926
Olfr161	K04257
Ppl	K10386
Gm26159	K14280
Tbx1	K19363
Olfr164	K04257
Olfr166	K04257
Olfr167	K04257
Olfr168	K04257
Olfr169	K04257
Olfr170	K04257
Olfr171	K04257
Kng2	K03898
Muc20	K22021
Gm25079	K14908
Gm24218	K14280
Stfa3	K13907
Olfr173	K04257
Olfr186	K04257
Olfr187	K04257
Olfr190	K04257
Olfr193	K04257
Olfr194	K04257
Olfr196	K04257
Olfr198	K04257
Olfr199	K04257
Olfr205	K04257
Gm22797	K26344
Gm26307	K26326
Gm23355	K14280
Gm22808	K14280
Gm46546	K02971
Cldn8	K06087
Gm46562	K11130
Gm25909	K14926
Gm17748	K09567
Gpr31c	K08406
Rnu6	K14280
Gm6686	K02970
Vmn2r95	K04613
Fpr-rs7	K04173
Vmn2r-ps130	K04613
Olfr63	K04257
Msh5	K03283
Gm23421	K14280
H2-M11	K06751
Olfr95	K04257
Olfr96	K04257
Olfr97	K04257
Olfr99	K04257
Olfr101	K04257
Olfr102	K04257
Olfr103	K04257
Olfr109	K04257
Olfr112	K04257
Olfr113	K04257
Olfr114	K04257
Olfr115	K04257
Olfr116	K04257
Olfr117	K04257
Olfr118	K04257
Olfr119	K04257
Olfr120	K04257
Olfr122	K04257
Olfr123	K04257
Olfr125	K04257
Olfr126	K04257
Olfr127	K04257
Olfr128	K04257
Olfr129	K04257
Olfr131	K04257
Olfr132	K04257
Olfr133	K04257
Olfr137	K04257
Olfr136	K04257
Trem1	K14362
Gm22978	K14276
Gm29770	K28423
Sult1c1	K01025
Gm25800	K26324
Gm23125	K14280
Gm23947	K14280
Fshr	K04247
Gm24244	K26326
Zfy2	K27541
Gm21244	K27702
Gm20815	K27702
Gm21292	K27702
Gm21301	K27702
Gm21310	K27702
Gm20834	K27702
Gm20737	K27702
Gm20828	K27702
Gm20812	K27702
Gm20807	K27702
Gm21425	K27702
Gm21440	K27702
Gm21454	K27702
Gm20773	K27702
Gm20836	K27702
Gm20928	K27702
Gm31186	K27702
Gm20822	K27702
Gm20877	K27702
Gm20833	K27702
Gm20772	K27702
Gm20831	K27702
Gm20851	K27702
Gm21660	K27702
Gm21678	K27702
Gm21763	K27702
Gm20909	K27702
Gm20865	K27702
Gm21065	K27702
Gm21469	K27702
Gm21661	K27702
Gm20925	K27702
Gm20926	K27702
Gm20840	K27702
Gm20809	K27702
Gm21412	K27702
Gm21427	K27702
Gm21443	K27702
Gm20895	K27702
Gm20892	K27702
Gm21476	K27702
Gm21506	K27702
Gm20891	K27702
Gm20893	K27702
Gm21642	K27702
Gm20810	K27702
Gm29317	K27702
Gm28093	K27702
Gm21908	K27702
Gm21753	K27702
Gm21810	K27702
Gm21745	K27702
Gm21184	K27702
Gm21201	K27702
Gm20853	K27702
Gm20798	K27702
Gm20898	K27702
Gm20738	K27702
Gm20793	K27702
Gm20795	K27702
Gm20827	K27702
Gm21805	K27702
Gm21783	K27702
Gm21247	K27702
Gm21751	K27702
Gm21281	K27702
Gm21308	K27702
Gm29267	K27702
Gm20880	K27702
Gm21387	K27702
Gm21396	K27702
Gm21249	K27702
Gm21268	K27702
Gm21275	K27702
Gm20747	K27702
Gm21302	K27702
Gm20930	K27702
Gm21330	K27702
Gm21340	K27702
Gm21943	K27702
Gm21724	K27702
Gm21843	K27702
Gm21918	K27702
Gm21573	K27702
Gm20803	K27702
Gm20804	K27702
Gm21530	K27702
Gm21617	K27702
Gm21634	K27702
Gm21654	K27702
Gm20882	K27702
Gm20907	K27702
Gm20924	K27702
Gm20936	K27702
Gm20852	K27702
Gm21114	K27702
Gm21794	K27702
Gm20935	K27702
Gm20816	K27702
Gm20818	K27702
Gm21151	K27702
Gm21160	K27702
Gm20932	K27702
Gm21524	K27702
Gm21672	K27702
Gm21118	K27702
Gm20866	K27702
Gm20868	K27702
Gm20844	K27702
Gm20846	K27702
Gm20848	K27702
Gm20902	K27702
Gm20805	K27702
Gm21076	K27702
Gm21155	K27702
Gm21163	K27702
Gm20859	K27702
Gm20867	K27702
Gm21198	K27702
Gm20806	K27702
Gm20919	K27702
Gm20917	K27702
Gm21242	K27702
Gm21257	K27702
Gm20841	K27702
Gm21282	K27702
Gm20912	K27702
Gm20801	K27702
Gm21333	K27702
Gm21344	K27702
Gm20862	K27702
Gm21380	K27702
Gm21394	K27702
Gm20854	K27702
Gm21435	K27702
Gm21287	K27702
Gm21838	K27702
Vmn1r238	K04614
Gm24292	K14280
Gm22251	K14280
Myo7b	K21868
Tslp	K05436
Gm22788	K28308
Npy6r	K04208
Gm24848	K14280
Gm25431	K14280
Zp1	K19926
Ms4a2	K06466
Olfr1418	K04257
Olfr1419	K04257
Olfr1423	K04257
Olfr1424	K04257
Olfr1425	K04257
Olfr1426	K04257
Olfr1428	K04257
Olfr1555-ps1	K04257
Olfr1431	K04257
Olfr262	K04257
Olfr1434	K04257
Olfr1436	K04257
Olfr1437	K04257
Olfr1440	K04257
Olfr1441	K04257
Olfr1442	K04257
Olfr1443	K04257
Olfr1448	K04257
Olfr1449	K04257
Olfr1450	K04257
Olfr1452-ps1	K04257
Olfr1453	K04257
Olfr1454	K04257
Olfr1457	K04257
Olfr1459	K04257
Olfr1461	K04257
Olfr1462	K04257
Olfr1466	K04257
Olfr1467	K04257
Olfr1469	K04257
Olfr1471	K04257
Olfr1474	K04257
Olfr1480	K04257
Olfr1484	K04257
Olfr1487	K04257
Olfr1490	K04257
Olfr1491	K04257
Olfr1494	K04257
Olfr1495	K04257
Olfr1496	K04257
Olfr1499	K04257
Olfr1500	K04257
Olfr1501	K04257
Olfr1504	K04257
Olfr1505	K04257
Gm23238	K14276
Dmrt1	K19488
Gm26046	K14276
Gm22082	K14276
Gm24006	K26326
Gm25611	K26326
Cyp2c69	K07413
Cyp2c37	K07413
Cyp2c50	K07413
Cyp2c70	K07413
Gm22365	K14279
Gm7102	K24575
